ParName	mode	min	max	arg1	arg2	Scal_chain	Screening	dis_name
StemPower	0.6	0.5	0.7	2188.288228	2097.890803	30	10	norm
aH	1.45	0.1	2.8	1.136570649	0.094215519	30	1	norm
bW	0.65	0.4	0.9	0.586380715	2.464119446	30	6	norm
klmax	0.0155	0.001	0.03	0.006	0.01	30	8	norm
alpha	0.06	0.04	0.08	0.065	0.02	30	9	norm
Tmin	8.5	6.8	10.2	8.5	3	30	31	norm
krmax	0.004	0.003	0.005	0.03	0.05	30	51	norm
gammaF1	0.027	0.0216	0.0324	0.027	0.008	30	20	norm
fN0	0.25	0	0.5	0	0.5	30	23	norm
rg	0.47	0.376	0.564	0.47	0.1	40	26	norm
rho1	0.435	0.33	0.54	0.45	0.05	30	3	norm
gammaR	0.015	0.012	0.018	0.012	0.018	30	12	norm
Topt	14.9	12.8	17	16	3	30	15	norm
MaxCond	0.02	0.016	0.024	0.016	0.024	30	29	norm
StemConst	1.325	1.15	1.5	466.476008	733.914628	30	18	norm
pFS20	0.15	0.12	0.18	0.12	0.18	30	24	norm
pRn	0.25	0.2	0.3	0.156	0.384	30	14	norm
k	0.5	0.4	0.6	0.5	0.2	30	32	norm
fracBB1	0.175	0.05	0.3	0.15	0.05	30	19	norm
LAIgcx	3.33	2.664	3.996	0.664	3.996	30	28	norm
fullCanAge	3.5	2	5	3	1	30	21	norm
pRx	0.8	0.64	0.96	0.56	0.84	30	30	norm
CoeffCond	0.05	0.04	0.06	0.04	0.06	30	33	norm
pFS2	1	0.8	1.2	1	1.2	30	11	norm
hc	0.125	0.1	0.15	0.1	0.15	30	46	norm
kF	1.5	0	3	1	2	30	25	norm
SLA1	4.05	3.7	4.4	1.02E+00	3.64E-02	30	34	norm
tBB	1.9	0.8	3	2	0.5	30	7	norm
m0	0.1	0	0.2	0	0.2	30	35	norm
tSLA	1.6	1.2	2	0.61679257	0.064167171	30	27	norm
Tmax	36	32	40	40	3	30	40	norm
MaxIntcptn	0.15	0.12	0.18	0.12	0.18	30	37	norm
fracBB0	2.05	0.6	3.5	0.75	0.1	30	17	norm
SLA0	12.25	10.5	14	1.121343157	0.068685501	30	38	norm
BLcond	0.2	0.16	0.24	0.16	0.24	30	39	norm
nAge	3.5	2	5	2	5	30	42	norm
tgammaF	12	9.6	14.4	12	3	30	41	norm
MaxAge	140	80	200	80	200	30	43	norm
rAge	0.88	0.76	1	0.76	1	30	47	norm
gammaF0	0.001	0.0008	0.0012	0.001	0.0005	30	45	norm
komax	0.0005	0.0004	0.0006	0.0004	0.0006	30	48	norm
dmC	0.5	0.45	0.55	0.5	0.05	30	16	norm
Yl_C_i	10	8	12	10	3	30	36	norm
Yr_C_i	1.5	0	3	2	6	30	44	norm
O_C_i	40	30	50	40	10	30	49	norm
LAImaxIntcptn	0.025	0	0.05	0	0.05	30	50	norm
FR_esp	0.5	0.2	0.8	0.5	0.1	30	13	norm
FR_ferc	0.5	0.2	0.8	0.5	0.1	30	4	norm
FR_ferf	0.7	0.4	1	0.7	0.14	30	2	norm
FR_feri	0.5	0.2	0.8	0.6	0.2	30	5	norm
FR_ferif	0.8	0.6	1	0.8	0.2	30	22	norm

